English,Croatian
blame,kriviti
sheet,list
estimate,procjena
relief,olakšanje
combination,kombinacija
investor,investitor
due,dužan
silence,tišina
manner,način
muscle,mišić
branch,podružnica
chain,lanac
long,dugačak
telephone,telefon
investigate,istraga
German,njemački
percentage,postotak
outcome,ishod
estate,imanje
forth,dalje
stress,stres
equal,jednak
English,Engleski
welfare,dobrobit
typical,tipičan
crazy,lud
except,osim
funny,smiješan
meat,meso
appeal,apel
long-term,dugoročno
official,službeno
eliminate,eliminirati
used,upotrijebljen
motion,pokret
complain,žaliti se
row,red
Jewish,Židovski
kick,udar
snow,snijeg
producer,proizvođač
solve,riješiti
just,samo
issue,problem
opposition,protivljenje
basketball,košarka
rely,osloniti
conservative,konzervativan
trust,povjerenje
back,leđa
address,adresa
mirror,ogledalo
tank,tenk
range,raspon
significantly,značajno
somewhat,nešto
attract,privući
anywhere,bilo gdje
regime,režim
fix,popraviti
entirely,potpuno
afford,priuštiti
length,dužina
secret,tajna
pleasure,zadovoljstvo
file,datoteka
tooth,zub
confirm,potvrditi
separate,razdvojiti
golden,zlatan
photograph,fotografirati
meanwhile,u međuvremenu
except,osim
now,sada
channel,kanal
bedroom,spavaća soba
requirement,zahtjev
ancient,antički
coverage,pokrivenost
trail,trag
bear,snositi
host,domaćin
his,njegov
check,ček
stand,stajati
surgery,kirurgija
perception,percepcija
rare,rijedak
struggle,borba
era,doba
grant,odobriti
file,datoteka
ocean,ocean
seriously,ozbiljno
clear,čisto
confidence,samouvjerenost
aside,na stranu
tear,suza
judgment,osuda
industrial,industrijski
expectation,očekivanje
resolution,razlučivost
copy,kopirati
wing,krilo
doubt,sumnjati
fun,zabava
totally,potpuno
pour,sipati
gender,spol
surprised,iznenađen
beer,pivo
clean,čist
score,postići
bond,veza
plus,plus
debt,dug
smart,pametan
English,Engleski
terrible,strašan
witness,svjedok
reference,referenca
account,račun
separate,razdvojiti
mean,zao
vice,potpredsjednik
black,crno
rest,odmor
hero,junak
bomb,bomba
below,ispod
rating,ocjena
busy,zaposlen
cite,citirati
corporation,korporacija
representative,predstavnik
everywhere,"svugdje, posvuda"
soil,tlo
highway,autocesta
frame,okvir
stretch,rastegnuti
oppose,protiviti se
Catholic,Katolik
cloud,oblak
initial,početni
variable,promjenljiv
essential,bitan
travel,putovati
improvement,poboljšanje
opening,otvor
necessarily,nužno
nurse,medicinska sestra
incident,incident
abortion,abortus
divide,podijeliti
aim,cilj
tired,umoran
careful,pažljiv
question,pitanje
cheap,jeftin
beside,pokraj
apart,odvojeno
criminal,kriminalac
employ,zaposliti
rush,žuriti
user,korisnik
upper,Gornji
winner,pobjednik
fashion,moda
tip,Savjet
apple,jabuka
rise,ustati
vast,ogroman
specifically,posebno
limited,ograničen
enormous,ogroman
holiday,odmor
e-mail,e-mail
emphasize,naglasiti
merely,samo
dance,ples
core,srž
match,podudarati
landscape,krajolik
overall,opći
golf,golf
lack,nedostatak
virtually,praktično
route,ruta
flow,teći
fewer,manje
cable,kabel
gate,kapija
tie,kravata
proud,ponos
promise,obećanje
dish,jelo
beneath,ispod
increased,povećan
succeed,uspjeti
barely,jedva
narrow,suziti
solid,čvrst
contemporary,suvremeni
accuse,optužiti
unfortunately,nažalost
useful,koristan
noise,buka
expose,izložiti
mass,masa
multiple,višestruko
vegetable,povrće
seed,sjeme
reject,odbiti
decline,odbiti
experiment,eksperiment
legislation,zakonodavstvo
hat,šešir
either,ili
secret,tajna
massive,masivan
grass,trava
definitely,definitivno
closer,bliži
liberal,liberalan
stir,promiješati
captain,kapetan
revolution,revolucija
typically,tipično
sector,sektor
hand,ruka
approve,odobriti
uncle,ujak
volume,volumen
explanation,obrazloženje
sentence,rečenica
escape,pobjeći
unusual,neobičan
distribution,distribucija
rural,ruralna
cast,bacanje
drink,piće
sleep,spavati
household,kućanstvo
celebrate,slaviti
taste,ukus
characteristic,karakterističan
outside,vanjski
addition,dodatak
acquire,steći
closely,blisko
proper,ispravan
tone,ton
topic,tema
towards,prema
waste,gubljenje
wheel,kotač
athlete,sportaš
convince,uvjeriti
alternative,alternativa
pepper,papar
cream,krema
land,zemljište
technical,tehnički
square,kvadrat
plenty,puno
behind,iza
invest,ulagati
mind,um
potential,potencijal
regard,obzir
intervention,intervencija
illegal,nezakonit
lower,niži
compete,natjecati se
talent,talenat
guilty,kriv
living,život
milk,mlijeko
height,visina
list,popis
live,uživo
assistance,pomoć
personality,ličnost
Israeli,Izraelski
gay,gay
forever,zauvijek
assess,procijeniti
weak,slab
female,žena
cigarette,cigareta
permit,dozvola
passenger,putnik
criticism,kritika
twenty,dvadeset
honor,čast
creative,kreativan
offer,ponuda
knock,kucanje
display,prikaz
campus,kampus
definition,definicija
gray,siva
signal,signal
warning,upozorenje
physician,liječnik
column,stupac
interaction,interakcija
dramatic,dramatičan
review,pregled
republic,republika
primarily,prvenstveno
priority,prioritet
achievement,dostignuće
fun,zabava
request,zahtjev
wrap,zamotati
engineer,inženjer
rice,riža
scholar,učenjak
airline,aviokompanija
expense,trošak
observation,promatranje
gap,jaz
agenda,dnevni red
creation,stvaranje
drag,opterećenje
suspect,sumnjičav
fishing,ribarstvo
bread,kruh
hi,bok
unable,nesposoban
scream,vrisak
journalist,novinar
constitution,ustav
lucky,sretan
excellent,izvrstan
mass,masa
payment,plaćanje
deep,duboko
selection,izbor
lab,laboratorija
arrest,uhićenje
deeply,duboko
sad,tužan
childhood,djetinjstvo
suppose,pretpostaviti
fairly,pošteno
prosecutor,tužitelj
violent,nasilan
recover,oporavak
roof,krov
amendment,amandman
emotion,emocija
existing,postojanje
far,daleko
graduate,diplomirati
factory,tvornica
schedule,raspored
avenue,avenija
spiritual,duhovni
ride,vožnja
wash,pranje
planning,planiranje
self,samo
later,kasnije
shout,vikati
silent,šutjeti
brief,kratak
error,pogreška
widely,široko
description,opis
dark,tamna
immediate,neposredan
purchase,kupiti
leading,vodeći
funding,financiranje
settlement,naselje
prayer,molitva
initiative,inicijativa
coalition,koalicija
comparison,usporedba
portion,dio
opponent,protivnik
tension,napetost
chapter,poglavlje
bother,gnjaviti
curriculum,kurikulum
consist,sastojati se
immigrant,doseljenik
enable,omogućiti
faculty,fakultet
steel,željezo
desert,pustinja
asset,imovina
slow,usporiti
housing,kućište
transform,transformirati
regarding,u vezi
perceive,opažati
depression,depresija
inform,obavijestiti
formal,formalan
abandon,napustiti
release,puštanje
chip,čip
double,dvostruko
remaining,preostali
existence,postojanje
cheese,sir
link,veza
joint,zglob
savings,štednja
rule,Pravilo
preserve,sačuvati
diet,dijeta
territory,teritorija
tea,čaj
bend,saviti
gain,dobiti
arrange,dogovoriti
resolve,odlučnost
walk,hodati
passage,prolaz
lock,zaključati
tear,suza
resistance,otpornost
present,predstaviti
stream,strujati
slide,skliznuti
green,zelena boja
sharp,oštar
display,prikaz
cycle,ciklus
pose,poza
phase,faza
transition,tranzicija
reduction,smanjenje
negotiation,Pregovaranje
manufacturer,proizvođač
interview,intervju
quote,citat
deserve,zaslužiti
trust,povjerenje
sale,prodaja
layer,sloj
wedding,vjenčanje
discovery,otkriće
mine,rudnik
academy,akademija
sand,pijesak
hit,pogoditi
missile,raketa
elect,izabrati
climate,klima
participation,sudjelovanje
knife,nož
benefit,korist
atmosphere,atmosfera
joke,vic
urge,poticaj
ordinary,običan
visual,vizualan
numerous,brojni
occasion,prigoda
philosophy,filozofija
suicide,samoubojstvo
shall,htjeti
glad,radostan
goods,roba
moreover,štoviše
coat,kaput
consistent,dosljedan
alcohol,alkohol
opposite,suprotan
cop,policajac
universe,svemir
breathe,disati
practical,praktičan
therapy,terapija
shift,smjena
racial,rasni
elsewhere,drugdje
rarely,rijetko
essentially,u suštini
discipline,disciplina
reply,odgovor
Mexican,meksički
passion,strast
tale,priča
dust,prah
kiss,poljubac
iron,željezo
independence,neovisnost
contact,kontakt
Spanish,Španjolski
advance,napredovati
pot,lonac
potato,krumpir
motor,motor
pack,paket
dominate,dominirati
marketing,Marketing
disaster,katastrofa
exposure,izlaganje
complaint,žalba
cap,kapica
congressional,kongresni
jacket,jakna
intense,intenzivan
touch,dodir
for,za
impose,nameće
electric,električan
implement,implementirati
enforcement,provođenje
analyze,analizirati
sure,Naravno
retire,penzionirati se
deficit,deficit
emphasis,naglasak
concentrate,koncentrat
accomplish,postići
previously,prethodno
symbol,simbol
bureau,zavod
laboratory,laboratorija
attach,pričvrstiti
fundamental,temeljni
whenever,zauvijek
arrangement,uređenje
investigator,istraživač
mark,ocjena
another,još
shock,šok
adjust,prilagoditi
employer,poslodavac
visible,vidljiv
pass,proći
priest,svećenik
volunteer,volonter
interpretation,tumačenje
entertainment,Zabava
habit,navika
illustrate,ilustrirati
equally,jednako
prospect,perspektiva
enhance,poboljšati
severe,jak
other,drugi
monitor,monitor
amazing,nevjerojatan
poverty,siromaštvo
increasing,povećavajući
boss,šef
inspire,nadahnuti
anger,bijes
heavily,snažno
parking,parkiralište
print,ispis
maker,tvorac
involvement,umiješanost
queen,kraljica
gene,gen
vary,varirati
approximately,približno
gallery,galerija
evaluate,procijeniti
fat,mast
trade,trgovina
transfer,prijenos
exercise,vježbanje
usual,uobičajeni
mystery,misterija
entry,ulazak
ring,prsten
mood,raspoloženje
bean,grah
still,još
objective,cilj
capable,sposoban
constant,konstantno
light,svjetlo
substance,supstanca
total,ukupno
strongly,snažno
exception,iznimka
commander,zapovjednik
spending,trošenje
crucial,presudan
acre,jutar
wire,žica
command,naredba
nervous,živčani
cross,križ
so-called,takozvani
competitive,natjecateljski
Asian,azijski
tower,toranj
veteran,veteran
creature,stvorenje
smoke,dim
Arab,Arapski
prince,princ
alliance,savez
transportation,prijevoz
stop,Stop
luck,sreća
symptom,simptom
bury,sahraniti
clinic,Klinika
illness,bolest
championship,prvenstvo
prisoner,zatvorenik
reputation,ugled
edition,izdanje
juice,sok
sauce,umak
peak,vrh
confront,suočiti
breakfast,doručak
recognition,priznanje
smell,miris
ally,saveznik
pure,čist
toy,igračka
salary,plaća
electronic,elektronička
bathroom,kupaonica
surely,sigurno
psychological,psihološki
evaluation,procjena
dimension,dimenzija
block,blok
race,trka
personnel,osoblje
belt,pojas
accompany,pratiti
implication,implikacija
album,album
perfectly,savršeno
strike,štrajk
jet,mlaz
hello,zdravo
shape,oblik
relative,rođak
tourist,turist
phenomenon,fenomen
fellow,kolega
toss,bacanje
publication,objavljivanje
nearby,u blizini
consideration,obzir
rather,radije
holy,svet
enterprise,poduzeće
due,dužan
inner,unutarnji
watch,Gledati
Indian,Indijanac
pray,moliti
creek,potok
supply,Opskrba
boot,čizma
whisper,šapat
resist,odoljeti
journey,putovanje
flag,zastava
disorder,poremećaj
designer,dizajner
literally,doslovno
apparent,očigledan
permanent,stalan
angle,kut
smooth,"glatko, nesmetano"
unlike,različit
tablespoon,žlica
smoke,dim
consultant,konzultant
twin,dvostruki
favor,milost
throat,grlo
construct,konstruirati
birthday,rođendan
soon,uskoro
swing,ljuljati se
supporter,pristalica
testing,testiranje
reasonable,razuman
mail,pošta
silver,srebro
retirement,odlazak u mirovinu
sensitive,osjetljiv
gentleman,gospodin
navy,mornarica
terrorism,terorizam
occasionally,povremeno
glance,pogled
observer,posmatrač
constantly,konstantno
bind,vezati
wet,mokar
line,crta
dig,kopati
quit,prestati
digital,digitalan
straight,ravno
vs,vs
assist,pomoći
employment,zapošljavanje
suggestion,prijedlog
rapidly,brzo
estimate,procjena
embrace,zagrljaj
junior,mlađi
stomach,trbuh
extreme,ekstrem
pretty,prilično
mine,rudnik
recovery,oporavak
negotiate,pregovarati
impression,dojam
wage,plaća
fifth,peti
FALSE,Lažan
count,računati
pink,ružičasta
absence,odsutnost
aggressive,agresivan
corn,kukuruz
mixture,smjesa
substantial,"znatan, bitan, stvaran"
grandmother,baka
quietly,tiho
jail,zatvor
specialist,specijalista
dealer,trgovac
poem,pjesma
butter,maslac
conventional,konvencionalne
pace,tempo
intention,namjera
peer,perika
restore,vratiti
wooden,drveni
criticize,kritizirati
nevertheless,Štoviše
approval,odobrenje
historic,povijesni
secure,siguran
preparation,priprema
Latin,latinski
lord,gospodar
teaspoon,čajna žličica
musical,mjuzikl
weigh,odmjeriti
comment,komentar
pan,tava
assure,osigurati
viewer,gledatelj
arise,ustati
administrator,administrator
immigration,imigracija
plant,biljka
honest,"pošten, čestit"
origin,podrijetlo
giant,div
diversity,raznolikost
tomato,rajčica
advise,savjetovati
biological,biološki
shell,ljuska
essay,esej
roll,svitak
historian,povjesničar
deputy,zamjenik
date,datum
effectively,učinkovito
fast,brzo
schedule,raspored
buck,mužjak
tube,cijev
refugee,izbjeglica
depth,dubina
flat,ravan
precisely,točno
mad,lud
alternative,alternativa
disability,invalidnost
destruction,uništenje
dream,san
drop,pad
assumption,pretpostavka
normally,"normalno, redovno"
angel,anđeo
pop,pop
criteria,kriterij
minor,manji
crop,usjev
barrier,prepreka
assign,dodijeliti
elementary,osnovni
valuable,vrijedan
testimony,svjedočanstvo
stake,ulog
concert,koncert
label,označiti
routine,rutinski
wealth,bogatstvo
professional,profesionalni
gang,banda
incorporate,uključiti
brand,marka
recipe,recept
vacation,odmor
utility,korisnost
satellite,satelit
extraordinary,neobičan
wave,val
ultimate,ultimativno
chemical,kemijski
advocate,zagovornik
wonder,čudo
educator,odgajatelj
cake,torta
phrase,fraza
yell,vikati
personally,osobno
respondent,ispitanik
Palestinian,Palestinac
classic,klasičan
snap,škljocati
via,preko
lawsuit,tužba
install,instalirati
sweep,pomesti
festival,festival
draft,Nacrt
heaven,nebo
switch,sklopka
activist,aktivista
ceiling,strop
clock,sat
graduate,diplomirati
aunt,tetka
darkness,tama
daddy,tata
royal,kraljevski
advertising,oglašavanje
rough,hrapav
pregnant,trudna
penalty,kazna
distant,udaljen
developing,razvijanje
yield,prinos
wind,vjetar
armed,naoružan
mechanism,mehanizam
rank,rang
killer,ubojica
fence,ograda
ahead,ispred
universal,univerzalan
terror,teror
wolf,vuk
house,kuća
anxiety,anksioznost
chemical,kemijski
found,pronađeno
protein,protein
engineering,inženjering
clothing,odjeća
proceed,nastaviti
fiber,vlakno
react,reagirati
bottom,dno
spin,vrtjeti
roughly,grubo
drama,drama
liberty,sloboda
ingredient,sastojak
hip,bok
provision,predviđanje
burden,teret
teen,tinejdžer
survival,opstanak
unlikely,nevjerojatno
Italian,talijanski
chamber,komora
lost,izgubljen
communicate,komunicirati
stupid,glup
bet,opklada
advance,napredovati
Muslim,muslimanski
bell,zvono
onion,luk
disagree,ne slagati se
encounter,susret
constitutional,ustavni
cabinet,kabinet
remarkable,izvanredan
broken,slomljen
latter,potonji
overcome,prevladati
virus,virus
stranger,stranac
retain,zadržati
match,podudarati
prize,nagrada
string,niz
exhibition,izložba
expansion,širenje
tremendous,ogroman
bunch,mnogo
assistant,pomoćnik
initially,u početku
accurate,precizan
cheek,obraz
index,indeks
occupy,zauzeti
gear,oprema
guarantee,jamčiti
chocolate,čokolada
ceremony,ceremonija
button,dugme
shopping,kupovina
pay,platiti
dispute,spor
like,Kao
furniture,namještaj
marine,morski
statistics,statistika
Olympic,olimpijski
balance,uravnotežiti
wipe,brisanje
spokesman,glasnogovornik
super,super
Islamic,Islamski
track,staza
translate,Prevedi
interpret,tumačiti
testify,svjedočanstvo
cooperation,suradnja
friendly,prijateljski
profile,profil
pants,hlače
whereas,dok
honor,čast
elite,elita
decline,odbiti
port,luka
complicated,složen
cousin,rođak
strategic,strateški
terrorist,terorista
chart,grafikon
drawing,crtanje
though,iako
gently,nježno
pack,paket
odd,neparan
incentive,poticaj
innocent,nevin
imply,podrazumijevati
taste,ukus
stadium,stadion
scenario,scenarij
shooting,pucanje
blind,slijep
assembly,skupština
withdraw,povući
strip,traka
market,tržište
lover,ljubavnik
process,postupak
mainly,uglavnom
aircraft,zrakoplov
newly,novo
ideal,idealan
dirt,prljavština
flow,teći
boundary,granica
resort,pribjeći
genetic,genetski
stick,zalijepiti
concentration,koncentracija
naturally,prirodno
ministry,ministarstvo
surprising,iznenađujući
adviser,savjetnik
recommendation,preporuka
similarly,slično
justify,opravdati
wildlife,divljina
bench,klupa
bullet,metak
mode,način
square,kvadrat
champion,prvak
dismiss,odbaciti
deck,paluba
lifetime,doživotno
extensive,opsežan
attractive,atraktivan
politically,politički
regularly,redovito
raw,sirov
fault,greška
clinical,klinički
detect,otkriti
considerable,znatan
working,rad
partly,djelomično
platform,platforma
remote,daljinski
blue,plave boje
respect,poštovanje
top,vrh
fortune,bogatstvo
slave,rob
delivery,dostava
worth,vrijedan
reflection,odraz
relevant,relevantan
unknown,nepoznat
pause,pauza
likely,Vjerojatno
tissue,tkivo
sink,umivaonik
counter,brojač
Bible,Biblija
license,licenca
tragedy,tragedija
assistant,pomoćnik
dialogue,dijalog
mutual,međusobni
loose,labav
external,vanjski
pride,ponos
awareness,svijest
electricity,struja
diverse,raznolik
advanced,Napredna
free,besplatno
faster,brže
conservative,konzervativan
online,na liniji
assault,napad
shortly,ukratko
finance,financije
originally,izvorno
founder,osnivač
lie,laž
characterize,okarakterizirati
protest,prosvjediti
pole,pol
intellectual,intelektualac
communist,komunist
infection,infekcija
controversy,polemika
double,dvostruko
freeze,zamrznuti
portrait,portret
proof,dokaz
satisfaction,zadovoljstvo
insight,uvid
headquarters,zapovjedništvo
stair,stubište
crash,sudar
constitute,konstituirati
thirty,trideset
alter,izmijeniti
sudden,iznenadni
not,ne
potentially,potencijalno
dirty,prljav
evolve,razvijati
teenager,tinejdžer
violation,kršenje
joy,radost
smell,miris
possess,posjedovati
hurricane,uragan
offense,uvreda
relax,opustiti
appeal,apel
mount,nosač
treaty,ugovor
prior,ranije
memorial,spomen
establishment,osnivanje
hold,zadržati
tap,tapkati
swim,plivati
properly,pravilno
gulf,zaljev
tongue,jezik
salad,salata
practice,praksa
favorite,omiljen
shelter,zaklon
correspondent,dopisnik
introduction,Uvod
funeral,pogreb
literary,literarni
convert,Pretvoriti
violate,prekršiti
rub,trljati
entrance,ulaz
episode,epizoda
tournament,turnir
vital,vitalan
stable,stabilan
split,podjela
representation,prikaz
stress,stres
fiction,fikcija
lane,traka
distinction,razlika
segment,segment
transfer,prijenos
comprehensive,sveobuhvatan
confident,uvjeren
easy,lako
prominent,istaknut
presentation,prezentacija
net,neto
squeeze,iscijediti
tobacco,duhan
significance,značaj
imagination,mašta
pretend,pretvarati se
mere,puki
mix,miješati
spot,mjesto
fade,uvenuti
steady,stabilan
neither,ni
target,cilj
nowhere,nigdje
variation,varijacija
radical,radikal
adventure,avantura
profession,profesija
exciting,uzbudljiv
fate,sudbina
regardless,Bez obzira na to
load,opterećenje
singer,pjevač
distribute,raspodijeliti
ton,tona
instance,primjer
affiliation,pripadnost
hunting,lov
pale,blijedo
paint,boja
poet,pjesnik
gradually,postepeno
partnership,partnerstvo
capability,sposobnost
Canadian,kanadski
tech,tehničar
commerce,trgovina
grandfather,djed
bake,peći
shelf,polica
honey,med
round,krug
flee,pobjeći
adapt,prilagoditi
buyer,kupac
divorce,razvod
defensive,obrambeni
bombing,bombardiranje
scared,prestrašen
gesture,gesta
poetry,poezija
reserve,rezervni
satisfy,zadovoljiti
pollution,zagađenje
lawn,travnjak
depending,ovisno
wisdom,mudrost
since,od
comfort,udobnost
plot,zemljište
vulnerable,ranjiv
explosion,Eksplozija
tail,rep
differ,razlikovati se
fellow,kolega
sustain,održati
doubt,sumnjati
stability,stabilnost
fantasy,fantazija
obligation,obaveza
God,Bog
damage,šteta
bike,bicikl
dining,ručavanje
guide,vodič
custom,prilagođen
ill,bolestan
celebrity,slavna osoba
leather,koža
given,dodijeljen
framework,okvir
beat,pobijediti
owe,dugovati
slight,zatega
witness,svjedok
tendency,sklonost
load,opterećenje
crack,pukotina
briefly,kratko
derive,izvesti
speaker,zvučnik
scandal,skandal
fifteen,petnaest
scheme,shema
jazz,jazz
in,u
elderly,stariji
celebration,Proslava
can,limenka
evolution,evolucija
fighter,borac
publicly,javno
store,trgovina
trace,trag
rid,osloboditi
detective,detektiv
closer,bliži
limitation,ograničenje
besides,osim
soup,juha
oven,pećnica
rapid,brz
chase,loviti
sophisticated,sofisticiran
tribe,pleme
pipe,cijev
deer,jelen
illustration,ilustracija
ok,u redu
arrest,uhićenje
mm-hmm,mm-hmm
uniform,ujednačen
transmission,prijenos
storage,skladištenje
pile,gomila
survivor,preživio
resemble,nalikovati
incredible,nevjerojatan
impress,impresionirati
economist,ekonomista
efficient,učinkovit
fifty,pedeset
shade,hlad
opera,opera
calculate,izračunati
preference,prednost
guideline,smjernica
consume,konzumirati
maintenance,održavanje
formation,formacija
glove,rukavica
scholarship,stipendija
educate,školovati
proportion,proporcija
appointment,ugovoreni sastanak
fund,fond
conviction,uvjerenje
myth,mit
solar,solarni
vessel,Brod
wealthy,bogat
friendship,prijateljstvo
membership,članstvo
craft,zanat
qualify,kvalificirati
French,francuski
earnings,zarada
waste,gubljenje
asleep,zaspao
porch,trijem
controversial,kontroverzno
painful,bolan
congressman,kongresmen
mama,mama
monitor,monitor
surprise,iznenađenje
infant,dječji
cow,krava
proposed,zaprosio
sufficient,dovoljan
oak,hrast
terrorist,terorista
mall,trgovački centar
punishment,kazna
helpful,koristan
ongoing,neprekidan
admission,prijem
frequency,frekvencija
ratio,omjer
delay,odgoditi
privacy,privatnost
trick,trik
etc,itd
circuit,krug
musician,glazbenik
sue,tužiti
purchase,kupiti
aide,pomoćnik
modest,skroman
helicopter,helikopter
empire,carstvo
detailed,detaljan
efficiency,učinkovitost
humor,humor
sanctions,sankcije
badly,Loše
tennis,tenis
emission,emisija
desperate,očajan
garlic,češnjak
contest,Natjecanje
strengthen,ojačati
demonstration,demonstracija
restriction,ograničenje
Irish,irski
hunter,Lovac
standing,stajati
handful,pregršt
explode,eksplodirati
prompt,potaknuti
absorb,upiti
suspect,sumnjičav
eager,željan
temporary,privremeni
commissioner,povjerenik
diamond,dijamant
curious,znatiželjan
differently,različito
across,preko
reservation,rezervacija
downtown,centar grada
adjustment,podešavanje
composition,sastav
relative,rođak
tiger,tigar
fabric,tkanina
assert,tvrditi
discrimination,diskriminacija
float,plutati
request,zahtjev
math,matematika
overlook,izlaziti
corps,korpus
sequence,slijed
complex,kompleks
heel,potpetica
successfully,uspješno
examination,ispitivanje
horizon,horizont
German,njemački
absolute,apsolut
anticipate,predvidjeti
yours,tvoj
dominant,dominantan
bull,bik
prevention,prevencija
meter,metar
legitimate,legitiman
mask,maska
bite,ugristi
suit,odijelo
stroke,udar
assignment,zadatak
lion,lav
sense,osjećaj
rifle,puška
brilliant,sjajan
appoint,imenovati
boom,procvat
naked,goli
hungry,gladan
tight,tijesan
flame,plamen
Palestinian,Palestinac
economics,ekonomija
cabin,kabina
print,ispis
orange,naranča
wander,lutati
taxpayer,porezni obveznik
romantic,romantičan
devote,posvetiti
inflation,inflacija
furthermore,naduti
pine,bor
agriculture,poljoprivreda
legacy,nasljeđe
extension,produženje
barrel,barel
arrival,dolazak
register,Registar
flavor,okus
versus,protiv
risk,rizik
flesh,meso
submit,podnijeti
garage,garaža
cotton,pamuk
operator,operater
nut,orah
rate,stopa
blade,oštrica
girlfriend,djevojka
fly,letjeti
dependent,ovisan
carbon,ugljik
heritage,baština
organic,organski
ambassador,ambasador
invasion,invazija
summit,vrh
lifestyle,Životni stil
agricultural,poljoprivredni
shrug,slijeganje
counsel,savjetnik
associate,suradnik
major,major
distinguish,razlikovati
menu,izbornik
awful,grozan
wound,rana
manufacturing,proizvodnja
consumption,potrošnja
permission,dozvola
twelve,dvanaest
offensive,uvredljiv
shower,tuš
collapse,kolaps
undergo,podvrgnuti
function,funkcija
consciousness,svijest
correct,ispravan
dry,suho
frustration,frustracija
operating,operativni
ease,olakšati
carrier,prijevoznik
scope,opseg
grain,žitarica
distinct,različit
ranch,ranč
workshop,radionica
auto,auto
publisher,izdavač
narrator,pripovjedač
brush,četka
ban,zabrana
portray,prikazati
fighting,borbeni
borrow,posuditi
seize,zaplijeniti
psychology,psihologija
subsequent,naknadni
exceed,premašiti
crack,pukotina
killing,ubijanje
deadline,rok
athletic,atletski
wise,mudar
medication,lijek
repeatedly,opetovano
frequent,česti
rocket,raketa
fame,slava
lung,pluća
depict,prikazati
persuade,uvjeriti
tent,šator
ah,Ah
motivation,motivacija
odds,izgledi
worried,zabrinut
principal,glavni
firm,firma
ugly,ružan
adequate,adekvatan
nonetheless,bez obzira na to
criminal,kriminalac
widespread,raširen
transformation,transformacija
physically,tjelesno
provider,davatelj usluga
admire,diviti se
headline,naslov
miracle,čudo
institutional,institucionalni
homeless,beskućnik
impressive,impresivan
chef,kuhar
tactic,taktika
measurement,mjerenje
identification,identifikacija
province,pokrajina
moderate,umjeren
consensus,konsenzus
lovely,lijep
comedy,komedija
shore,poduprijeti
photographer,fotograf
venture,udubiti
competitor,konkurent
nomination,imenovanje
confusion,zbunjenost
attribute,atribut
horror,užas
orientation,orijentacija
weekly,tjedni
legislature,zakonodavno tijelo
basket,košara
crash,sudar
continued,nastavak
blanket,pokrivač
orange,naranča
eagle,orao
changing,mijenjanje
mouse,miš
ethics,etika
high,visok
ghost,duh
everyday,svaki dan
rope,uže
formula,formula
exhibit,izložiti
nerve,živac
cope,nositi se
running,trčanje
psychologist,psiholog
acid,kiselina
principal,glavni
pet,ljubimac
pitch,nagib
occupation,okupacija
courage,hrabrost
defeat,poraz
pregnancy,trudnoća
actress,glumica
patch,zakrpa
margin,margina
reinforce,ojačati
collective,kolektivan
brick,cigla
script,scenarij
cooking,kuhanje
tunnel,tunel
document,dokument
concrete,beton
recruit,Novak
grocery,namirnice
lemon,limun
dare,usuditi
exact,točno
battery,baterija
surprisingly,iznenađujuče
artistic,umjetnički
shit,sranje
indication,naznaka
cookie,kolačić
intensity,intenzitet
dramatically,dramatično
piano,klavir
concerning,o
lap,krug
inquiry,istraga
Catholic,Katolik
discourse,diskurs
laughter,smijeh
anniversary,godišnjica
telescope,teleskop
swear,zakleti se
park,park
charity,dobročinstvo
clue,trag
grave,grob
narrative,pripovjedački
hypothesis,hipoteza
upset,uzrujan
acceptable,prihvatljiv
favor,milost
couch,kauč
defendant,tuženi
compose,sastaviti
cool,ohladiti
ballot,glasački listić
related,srodan
cluster,Klastera
pie,pita
concern,briga
recording,snimanje
rail,šina
decrease,smanjenje
rape,silovanje
interrupt,prekinuti
architect,arhitekt
