English,Croatian
sigh,uzdah
remark,napomena
Christian,Kršćanski
invent,izumiti
prescription,recept
reward,nagrada
sacred,svet
organ,orgulje
abroad,u inozemstvu
devil,vrag
dear,dragi
rank,rang
superior,superiorni
military,vojni
greatly,jako
airplane,zrakoplov
host,domaćin
habitat,stanište
coal,ugljen
soccer,nogomet
entitle,davati pravo
delay,odgoditi
instructor,instruktor
integrity,integritet
shine,sjaj
mess,nered
norm,norma
allegation,optužba
pill,pilula
tight,tijesan
cry,plakati
okay,u redu
pleased,zadovoljan
plain,običan
inspector,inspektor
forum,forum
powder,puder
sin,grijeh
evident,vidljiv
sponsor,sponzor
acceptance,prihvaćanje
prosecution,tužilaštvo
cognitive,kognitivan
presidency,predsjedništvo
finance,financije
favor,milost
magic,magija
northwest,sjeverozapad
regulate,regulirati
exclude,isključiti
colonial,kolonijalni
rent,najam
peer,perika
civilian,civilni
harbor,luka
estimated,procijenjen
rhythm,ritam
midnight,ponoć
counselor,savjetnik
highlight,istaknuti
palace,palača
trading,trgovanje
compound,spoj
bare,ogoljen
echo,jeka
integrate,integrirati
slice,kriška
combat,borba
shop,dućan
medium,srednji
log,zapisnik
surgeon,kirurg
excuse,izgovor
ritual,ritual
resign,podnijeti ostavku
net,neto
excited,uzbuđen
lightly,lagano
evil,zlo
bitter,gorak
export,izvoz
swing,ljuljati se
clay,glina
logic,logika
virtue,vrlina
container,spremnik
quarterback,bek
beg,moliti
salmon,losos
greet,pozdraviti
curve,zavoj
mill,mlin
closet,ormar
interior,unutrašnjost
rod,štap
candy,bombon
restrict,ograničiti
initiate,pokrenuti
reverse,obrnut
ethical,etički
secondary,sekundarni
administrative,upravni
confuse,zbuniti
deadly,smrtonosan
pig,svinja
suburban,prigradski
medal,medalja
receiver,prijamnik
gaze,gledati
collapse,kolaps
snake,zmija
march,ožujak
experimental,eksperimentalni
civilization,civilizacija
classical,klasičan
fold,nakloniti
weakness,slabost
corridor,hodnik
harsh,oštar
retail,maloprodaja
mortgage,hipoteka
harder,tvrđi
developer,programer
legend,legenda
excitement,uzbuđenje
enforce,provesti
murder,ubiti
occasional,povremeni
cowboy,kauboj
minimum,minimum
flash,bljesak
reliable,pouzdan
suburb,predgrađe
melt,topiti
fit,prikladan
contend,protiviti se
plead,moliti
written,pisan
flood,poplava
unlike,različit
stem,trajati
inevitable,neizbježan
essence,suština
pitcher,bacač
tip,Savjet
subtle,suptilan
stretch,rastegnuti
slam,zalupiti
unemployment,nezaposlenost
trunk,deblo
privilege,privilegija
burst,puknuti
pitch,nagib
architecture,arhitektura
monthly,mjesečno
render,renderirati
mainstream,mainstream
frankly,iskreno
obstacle,zapreka
motivate,motivirati
trap,zamka
drinking,pijenje
elbow,lakat
rumor,glasina
swallow,gutljaj
legislative,zakonodavan
lecture,predavanje
daily,dnevno
jeans,traperice
duck,patka
slope,nagib
t-shirt,majica
inspection,inspekcija
speed,ubrzati
strict,strog
overwhelming,neodoljiv
assemble,sastaviti
missing,koji nedostaje
seemingly,naizgled
label,označiti
fraud,prevara
reach,dohvatiti
plain,običan
protest,prosvjediti
implementation,provedba
hunt,lov
boyfriend,dečko
integration,integracija
rat,štakor
wish,želja
broadcast,emitiranje
Korean,korejski
nail,čavao
pen,olovka
consult,savjetovati
companion,drug
encounter,susret
monster,čudovište
nightmare,noćna mora
beef,govedina
win,pobijediti
serving,servirati
globe,Globus
cholesterol,kolesterol
parliament,parlament
suite,apartman
continuing,nastavljajući
pop,pop
hence,stoga
lend,posuditi
project,projekt
sixth,šesti
mud,blato
pump,pumpa
flour,brašno
hostage,talac
ownership,vlasništvo
facilitate,olakšati
basement,podrum
correlation,poveznica
hurry,požuriti
insect,insekt
arena,arena
drift,odletjeti
notice,obavijest
domain,domena
cave,špilja
African-American,Afroamerikanac
consistently,dosljedno
leap,skok
final,konačan
effectiveness,učinkovitost
maximum,maksimum
array,nizova
unexpected,neočekivan
curtain,zavjesa
sandwich,sendvič
peaceful,mirno
humanity,čovječanstvo
prediction,predviđanje
Roman,rimski
ideology,ideologija
railroad,željeznica
possession,posjed
horn,rog
replacement,zamjena
announcement,Obavijest
pond,jezero
conduct,ponašanje
forgive,oprostiti
past,prošlost
Muslim,muslimanski
bishop,biskup
aim,cilj
top,vrh
uncomfortable,neudoban
subject,subjekt
laugh,smijeh
rip,Počivao u miru
random,nasumičan
herb,biljka
and/or,i/ili
dump,istovariti
online,na liniji
warm,zagrijati
guilt,krivnja
cattle,stoka
strain,naprezanje
sheriff,šerif
behave,ponašati
response,odgovor
crystal,kristal
execute,izvršiti
wrist,ručni zglob
motive,motiv
painter,slikar
convict,osuđenik
simultaneously,istovremeno
recession,recesija
await,čekati
hallway,hodnik
dose,doza
brush,četka
endure,izdržati
counseling,savjetovanje
civilian,civilni
suck,sisati
accommodate,smjestiti
traditionally,tradicionalno
spill,prosuti
fiscal,fiskalni
welcome,Dobrodošli
retired,umirovljen
closed,zatvoreno
gentle,gadan
separation,razdvajanje
guard,straža
warrior,ratnik
convinced,uvjeren
southwest,jugozapadno
drunk,pijan
outdoor,vanjski
tune,melodija
patient,pacijent
harm,naštetiti
cloth,tkanina
wherever,bilo gdje
administer,upravljati
short,kratak
supervisor,nadglednik
compromise,kompromis
grateful,zahvalan
Hispanic,Latinoamerički
Japanese,japanski
mandate,mandat
average,prosječan
alarm,alarm
cruise,krstarenje
injure,ozlijediti
sculpture,skulptura
award,dodijeliti
drain,odvod
temple,hram
dancer,plesač
towel,ručnik
Islam,islam
continuous,stalan
govern,vladati
crown,kruna
contractor,izvođač
adolescent,adolescent
skirt,suknja
abuse,zlostavljanje
bacteria,bakterije
adoption,posvajanje
intelligent,inteligentan
praise,hvaliti
outer,vanjski
nearby,u blizini
glance,pogled
grip,zahvat
profound,dubok
trigger,okidač
stuff,stvari
uncertainty,nesigurnost
driving,vožnja
enthusiasm,entuzijazam
complexity,složenost
excuse,izgovor
cafe,kafić
survey,pregled
virtual,virtualan
undermine,potkopati
unity,jedinstvo
chaos,haos
commonly,obično
endless,beskrajan
rhetoric,retorika
trait,svojstvo
pension,mirovina
genuine,pravi
sweat,znoj
European,Europski
innovation,inovacija
no,Ne
matter,materija
currency,valuta
forty,četrdeset
lobby,lobi
theoretical,teorijski
bat,šišmiš
makeup,šminka
pleasant,ugodan
rebuild,obnoviti
horrible,užasno
pad,jastučić
suspend,obustaviti
relieve,osloboditi
resume,nastaviti
respectively,odnosno
promotion,promocija
technological,tehnološki
galaxy,galaksija
altogether,sveukupno
apologize,ispričavati
research,istraživanje
infrastructure,infrastruktura
shuttle,čunak
thumb,palac
questionnaire,upitnik
sidewalk,trotoar
businessman,biznismen
weird,čudan
radiation,radijacija
format,format
scare,uplašiti
bounce,odskakivati
doll,lutka
attraction,privlačnost
needle,igla
Israeli,Izraelski
lock,zaključati
counterpart,kolega
convey,prenijeti
compensation,naknada
ship,brod
exclusive,ekskluzivan
twist,uvijati
precise,precizan
suspicion,sumnja
southeast,jugoistok
walking,hodanje
boost,pojačati
scatter,raspršiti
rebel,pobunjenik
van,kombi
identical,identičan
shame,sram
blow,udarac
delicate,delikatan
Olympics,Olimpijada
wider,širi
corruption,korupcija
hook,kuka
lieutenant,poručnik
firmly,čvrsto
structural,strukturalan
pause,pauza
invisible,nevidljiv
forehead,čelo
traveler,putnik
meaningful,značajan
provided,predviđen
colony,kolonija
signature,potpis
database,baza podataka
clerk,službenik
dedicate,posvetiti
determination,odlučnost
signal,signal
anxious,zabrinut
sum,iznos
frozen,smrznut
juror,porotnik
timing,vrijeme
punish,kazniti
crawl,puzati
conscious,svjestan
colonel,pukovnik
fitness,kondicija
landing,slijetanje
doctrine,doktrina
belly,trbuh
pope,papa
thereby,time
historically,povijesno
playoff,doigravanje
poster,poster
harder,tvrđi
acquisition,stjecanje
rescue,spasiti
departure,odlazak
summary,Sažetak
wrong,pogrešan
medium,srednji
chronic,kroničan
evil,zlo
handsome,zgodan
finish,Završi
hug,zagrliti
wow,wow
pursuit,potjera
residence,prebivalište
loud,glasno
promising,obećavajući
disk,disk
doorway,ulaz
diagnosis,dijagnoza
scout,izviđač
cancel,otkazati
desire,želja
amid,usred
envelope,omotnica
sooner,prije
beam,greda
reluctant,oklijevajući
spouse,suprug
fluid,fluidan
exit,Izlaz
mild,blag
electrical,električni
bite,ugristi
bath,kupka
decent,pristojan
ankle,gležanj
transaction,transakcija
reporting,izvještavanje
exhibit,izložiti
pit,jama
practically,praktički
oxygen,kisik
racism,rasizam
fist,šaka
garbage,smeće
ban,zabrana
guitar,gitara
expertise,stručnost
parade,parada
exploration,istraživanje
carve,rezbariti
realm,kraljevstvo
recipient,primatelj
residential,stambeni
bias,pristranost
sunlight,sunčeva svjetlost
lamp,svjetiljka
donor,donator
repair,popravak
sharply,oštro
hers,njezin
guidance,vodstvo
diplomatic,diplomatski
classic,klasičan
purple,ljubičasta boja
princess,princeza
candle,svijeća
advocate,zagovornik
generous,velikodušan
strip,traka
necessity,nužnost
tuck,ugurati
debate,rasprava
statue,kip
frame,okvir
elevator,lift
popularity,popularnost
indicator,indikator
entity,entitet
interior,unutrašnjost
limb,ud
bold,hrabar
hesitate,oklijevati
magic,magija
starting,s početkom
diminish,umanjiti
inside,unutra
readily,lako
elegant,elegantan
engagement,angažman
rage,bijes
destination,odredište
realistic,realističan
intent,namjera
metaphor,metafora
automobile,automobil
productive,produktivan
endorse,odobriti
isolate,izolirati
confess,priznati
wilderness,divljina
minimize,umanjiti
diagnose,dijagnosticirati
happiness,sreća
spectrum,spektar
hint,savjet
eating,jelo
tune,melodija
volunteer,volonter
abstract,sažetak
revolutionary,revolucionar
gym,teretana
addition,dodatak
Russian,ruski
disappointed,razočaran
particle,čestica
repair,popravak
dynamic,dinamičan
pump,pumpa
kiss,poljubac
value,vrijednost
automatically,automatski
overall,opći
dawn,zora
ruling,vladajući
mechanical,mehanički
feel,osjetiti
vitamin,vitamin
silly,budalica
handle,rukovati
artificial,Umjetna
outstanding,izvanredan
age,dob
peel,guliti
rescue,spasiti
oral,usmeni
o'clock,sati
undertake,poduzeti
lonely,usamljen
servant,sluga
indigenous,autohtoni
civic,građanski
full-time,puno vrijeme
worry,briga
cooperate,surađivati
casual,ležeran
behavioral,bihevioralan
shortage,nedostatak
reception,recepcija
offering,ponuda
huh,huh
credibility,vjerodostojnost
chin,brada
physics,fizika
vanish,nestajati
blend,mješavina
noon,podne
precious,dragocjen
command,naredba
wake,probuditi
flip,okrenuti
scary,zastrašujući
pizza,pizza
toilet,WC
representative,predstavnik
silk,svila
bid,ponuda
gathering,prikupljanje
softly,tiho
annually,godišnje
hook,kuka
suffering,pati
accuracy,točnost
marine,morski
broker,posrednik
hopefully,nadati
descend,spustiti se
tide,plima
trail,trag
stumble,posrnuti
verbal,verbalni
spring,Proljeće
collector,kolektor
judicial,sudski
burning,gorući
inventory,inventar
fool,budala
way,put
loyalty,odanost
performer,izvođač
kit,pribor
romance,romantika
quantity,količina
alleged,navodni
therapist,terapeut
longtime,Dugo vrijeme
sink,umivaonik
sentiment,sentiment
sodium,natrij
seal,pečat
trailer,prikolica
spread,širenje
shared,podijeljen
equity,kapital
banking,bankarstvo
ridiculous,smiješan
processing,obrada
please,Molim
dilemma,dilema
quest,potraga
pillow,jastuk
slice,kriška
shock,šok
lately,nedavno
laser,laser
rigid,krut
ours,Naš
prohibit,zabraniti
switch,sklopka
genius,genijalan
starter,starter
stem,trajati
primary,osnovan
cart,kolica
trap,zamka
Cuban,kubanski
inmate,zastupnik
sacrifice,žrtva
officially,službeno
slap,šamar
credit,Kreditna
mysterious,tajanstven
Arab,Arapski
specialize,specijalizirati se
fork,vilica
invitation,poziv
sail,ploviti
regulatory,regulatorni
cartoon,crtani film
stiff,krut
courtroom,sudnica
import,uvoz
tightly,čvrsto
flash,bljesak
equation,jednadžba
treasure,blago
jaw,čeljust
scan,skenirati
condemn,osuditi
improved,poboljšan
pickup,pokupiti
dignity,dostojanstvo
inspiration,inspiracija
automatic,automatski
merchant,trgovac
Greek,grčki
hostile,neprijateljski
extended,produžen
homeland,domovina
gasoline,benzin
gravity,gravitacija
defeat,poraz
near,blizu
thoroughly,temeljito
exchange,razmjena
bow,nakloniti se
glory,slava
reserve,rezervni
optimistic,optimističan
sergeant,narednik
casualty,povreda
concede,ustupiti
bloody,krvav
barn,staja
donate,donirati
unite,ujediniti
pro,progon
senior,stariji
feedback,Povratne informacije
grief,tuga
spite,škrt
steep,strm
productivity,produktivnost
conceive,zamisliti
tender,ponuda
continent,kontinent
hardware,hardver
equip,opremiti
wagon,vagon
besides,osim
output,izlaz
withdrawal,povlačenje
elder,stariji
cage,kavez
coastal,obalni
patience,strpljenje
shallow,plitko
earthquake,potres
voting,glasanje
input,ulazni
canvas,platno
slide,skliznuti
click,klik
sword,mač
mate,pariti
portfolio,portfelj
bug,buba
refrigerator,hladnjak
escape,pobjeći
heat,toplina
northeast,sjeveroistok
seventh,sedmi
post,objaviti
combined,kombiniran
alien,stranac
willingness,spremnost
hidden,skriven
accounting,računovodstvo
sexually,seksualno
chop,nasjeckati
patrol,patrola
symbolic,simboličan
ruin,propast
rock,stijena
drum,bubanj
opposed,suprotan
sheer,čist
ideological,ideološki
discourage,obeshrabriti
canal,kanal
prior,ranije
haul,vući
protective,zaštitnički
regard,obzir
conspiracy,zavjera
steam,pare
embassy,veleposlanstvo
tackle,pričvršćivanje
tropical,tropski
instantly,odmah
bubble,mjehurić
calm,smiriti
sheep,ovca
rent,najam
accent,naglasak
grasp,shvatiti
modify,izmijeniti
grin,osmijeh
toxic,toksičan
mixed,miješan
magnitude,veličina
afterward,nakon toga
root,korijen
progressive,progresivan
manipulate,manipulirati
vaccine,cjepivo
monument,spomenik
trace,trag
verdict,presuda
flexible,fleksibilno
declaration,deklaracija
costume,kostim
drawer,ladica
bless,blagosloviti
rack,stalak
secure,siguran
position,položaj
deeper,dublje
divorce,razvod
neutral,neutralan
fascinating,fascinantan
terrific,nevjerojatan
sympathy,simpatija
draft,Nacrt
spectacular,spektakularan
ounce,unca
rear,straga
inn,gostionica
collaboration,suradnja
clip,šišanje
instruct,poučiti
sock,čarapa
rider,jahač
revelation,otkrivenje
object,objekt
accomplishment,ostvarenje
seal,pečat
faint,onesvijestiti se
ease,olakšati
spell,čarolija
gospel,Gospel
whale,kit
theatre,kazalište
coordinator,koordinator
talented,talentiran
alongside,uz
cab,taksi
isolation,izolacija
costly,skup
tragic,tragičan
loud,glasno
instinct,instinkt
seat,sjedalo
intimate,intimni
underlying,podložni
respect,poštovanje
influential,utjecajan
pastor,pastor
presumably,vjerojatno
cook,kuhati
skip,preskočiti
eleven,jedanaest
tens,deseci
whoever,ma tko
ancestor,predak
safely,sigurno
nominee,kandidat
exotic,Egzotično
minimal,minimalan
uncertain,neizvjestan
Persian,Persijski
parental,roditeljski
orchestra,orkestar
treasury,riznica
tolerate,tolerirati
gallon,galon
thigh,bedro
fortunately,srećom
ambitious,ambiciozan
actively,aktivno
flexibility,fleksibilnost
jar,staklenki
cocaine,kokain
incredibly,nevjerojatno
consequently,stoga
documentary,dokumentarni film
charge,naplatiti
insert,umetnuti
ambition,ambicija
functional,funkcionalan
bankruptcy,stečaj
runner,trkač
execution,izvršenje
crush,simpatija
buddy,prijatelj
workplace,radno mjesto
skull,lubanja
cord,vrpca
fixed,fiksni
equivalent,ekvivalent
casino,kasino
reliability,pouzdanost
expected,očekivani
boil,kuhati
whip,bič
divine,božanski
proposition,prijedlog
census,popis
correction,korekcija
jump,skok
diary,dnevnik
nest,gnijezdo
statute,statut
exam,ispit
metropolitan,mitropolitan
star,zvijezda
nutrition,prehrana
breeze,povjetarac
illusion,iluzija
anonymous,anonimni
coup,udar
midst,usred
edit,Uredi
experienced,iskusan
castle,dvorac
sort,vrsta
exploit,iskorištavati
jewelry,nakit
diabetes,dijabetes
translation,prijevod
Dutch,Nizozemski
upset,uzrujan
harm,naštetiti
irony,ironija
associated,udružen
utilize,iskoristiti
rabbit,zec
soap,sapun
booth,štand
minimum,minimum
immune,imun
gut,crijevo
appreciation,zahvalnost
cast,bacanje
scramble,šminkanje
upstairs,gore
punch,bušiti
gross,bruto
liability,odgovornost
accessible,dostupan
mechanic,mehaničar
ass,dupe
aesthetic,estetski
dessert,desert
waist,struk
alike,slično
brave,hrabar
loop,petlja
passing,pretjecanje
partially,djelomično
statistical,statistički
correctly,ispravno
pin,pričvrstiti
practitioner,praktičar
encouraging,ohrabrujući
syndrome,sindrom
tribal,plemenski
persist,ustrajati
trash,otpad
teenage,tinejdžer
self-esteem,samopoštovanje
preliminary,preliminarni
stay,boravak
sunset,zalazak sunca
harassment,uznemiravanje
reportedly,navodno
quote,citat
fever,groznica
panic,panika
charter,čarter
outlook,izgledi
foster,udomljavati
comprise,sastaviti
known,znan
Thanksgiving,Zahvaljivanje
short-term,kratkoročan
shed,prolijevati
cooperative,zadruga
alley,ulica
subsidy,subvencija
secular,sekularni
aluminum,aluminij
cliff,litica
gram,gram
outline,obris
mentally,mentalno
invade,upasti
confrontation,konfrontacija
sacrifice,žrtva
dissolve,otopiti
shy,stidljiv
coin,novčić
speculation,špekulacija
creativity,kreativnost
custody,skrbništvo
interfere,umiješati se
spoon,žlica
bee,pčela
rolling,kotrljanje
interact,interakcija
damn,proklet
dam,brana
unfair,nepravilan
someday,jednog dana
liquid,tekućina
disclose,otkriti
mushroom,gljiva
disabled,onemogućeno
counter,brojač
catalog,katalog
gaze,gledati
publicity,publicitet
compel,prisiliti
cease,prekid
ideal,idealan
decorate,ukrasiti
surrounding,okolan
exclusively,isključivo
bonus,bonus
unprecedented,bez presedana
oversee,nadgledati
touchdown,gol
federation,federacija
aggression,agresija
behalf,korist
well-known,poznat
donation,donacija
desperately,očajnički
reward,nagrada
high-tech,visoka tehnologija
cheat,varati
audio,audio
sensation,osjećaj
entrepreneur,poduzetnik
proclaim,proglasiti
supplier,dobavljač
rival,rival
reminder,podsjetnik
heal,liječiti
case,slučaj
beast,zvijer
uncover,otkriti
merit,zasluga
momentum,zamah
stimulate,stimulirati
rational,racionalan
columnist,kolumnista
pioneer,pionir
biology,biologija
photography,fotografija
innovative,inovativan
purse,torbica
franchise,franšiza
consent,pristanak
outfit,opremiti
eve,predvečerje
spray,sprej
shove,gurati
fisherman,ribar
sensitivity,osjetljivost
courtesy,ljubaznost
stack,stog
pork,svinjetina
teammate,suigrač
instant,trenutak
pulse,puls
outsider,autsajder
pro,progon
helmet,kaciga
ladder,ljestve
openly,otvoreno
fierce,žestok
bet,opklada
required,potreban
shrink,se smanjiti
cute,sladak
dot,točka
weaken,oslabiti
filter,filtar
worldwide,širom svijeta
envision,predvidjeti
videotape,videokalaz
partial,djelomičan
patent,patent
tray,ladica
jungle,džungla
classify,klasificirati
specialty,specijalitet
nasty,gadan
aisle,prolaz
graph,grafikon
wound,rana
sexy,seksi
disturb,uznemiriti
excessive,pretjeran
banker,bankar
aid,pomoć
installation,montaža
swimming,plivanje
placement,plasman
attendance,prisustvovanje
informal,neformalan
sack,vreća
flood,poplava
eighth,osmi
premise,pretpostavka
grill,roštilj
model,model
dying,umiranje
colorful,šaren
hockey,hokej
backyard,dvorište
collar,ovratnik
breathing,disanje
logical,logičan
lightning,munja
dried,suho
discount,popust
sole,jedini
boast,pohvaliti
tag,označiti
sibling,brat ili sestra
stove,peć
trainer,trener
vertical,vertikalan
added,dodan
marketplace,tržnica
cure,lijek
curiosity,znatiželja
organizational,organizacijski
shrimp,škampi
inherit,naslijediti
color,boja
distract,odvratiti
isolated,izoliran
planner,planer
supposedly,navodno
likewise,također
monkey,majmun
toll,naplaćivati
embarrassed,posramljen
deliberately,namjerno
bicycle,bicikl
stance,stav
orbit,orbita
hormone,hormon
depressed,depresivno
organism,organizam
deploy,rasporediti
strictly,strogo
deem,smatrati
eyebrow,obrva
legally,legalno
puzzle,puzzle
icon,ikona
pat,pogladiti
closest,najbliži
sneak,doušnik
fleet,flota
conservation,očuvanje
supportive,podržavajući
comparable,usporediv
texture,tekstura
access,pristup
striking,upečatljiv
associate,suradnik
Christianity,kršćanstvo
dip,umočiti
disappointment,razočaranje
sleeve,rukav
socially,društveno
wheat,pšenica
chunk,komad
two-thirds,dvije trećine
pile,gomila
refuge,Sklonište
blank,prazan
unfold,razviti
considerably,znatno
frontier,granica
faster,brže
suspicious,sumnjičav
conception,začeće
feather,pero
elephant,slon
rain,kiša
cure,lijek
near,blizu
intellectual,intelektualac
textbook,udžbenik
joke,vic
glimpse,pogled
inevitably,neizbježno
triumph,trijumf
plunge,poniranje
sphere,sfera
hunger,glad
density,gustoća
cheer,bodriti
balanced,uravnotežen
protocol,protokol
part,dio
legislator,zakonodavac
auction,aukcija
equality,jednakost
risky,rizičan
cemetery,groblje
builder,graditelj
awake,osvijestiti
retailer,trgovac
debut,debi
tighten,zategnuti
spare,rezervni
compromise,kompromis
constraint,ograničenje
compliance,usklađenost
sponsor,sponzor
emerging,rastući
this,ovaj
elaborate,razraditi
atop,na vrhu
chew,žvakati
similarity,sličnost
pencil,olovka
calculation,izračunavanje
tolerance,tolerancija
astronomer,astronom
bulk,rasuti
arm,ruka
interval,interval
notebook,bilježnica
genre,žanr
likelihood,vjerojatnost
liberal,liberalan
streak,trag
rib,rebro
scent,miris
validity,valjanost
grin,osmijeh
steer,upravljati
intact,netaknut
shark,morski pas
uh,uh
programming,programiranje
dumb,glup
formerly,ranije
squad,odsjed
comply,pridržavati se
debris,krhotine
peasant,seljak
outlet,izlaz
chase,loviti
neat,uredan
valid,valjan
kingdom,kraljevstvo
solely,jedino
eligible,ispunjavajući uvjete
regret,žaljenje
municipal,općinski
strain,naprezanje
deposit,depozit
transport,prijevoz
dough,tijesto
lid,poklopac
voluntary,dobrovoljno
journalism,novinarstvo
any,bilo koji
impulse,impuls
policeman,policajac
objection,prigovor
thrive,napredovati
privately,privatno
cling,prilijepiti
halfway,na pola puta
unhappy,nesretan
rally,miting
scratch,ogrepsti
robot,robot
conversion,pretvaranje
supermarket,supermarket
blink,treptati
philosophical,filozofski
happily,sretno
thread,nit
allegedly,navodno
ash,pepeo
dynamics,dinamika
denial,poricanje
riot,pobuna
soar,lebdjeti
mentor,mentor
beard,brada
widow,udovica
offender,prijestupnik
landmark,orijentir
apart,odvojeno
instant,trenutak
routinely,rutinski
butt,stražnjica
forbid,zabraniti
bomb,bomba
migration,migracija
carrot,mrkva
harmony,sklad
downtown,centar grada
brutal,brutalan
prevail,prevladati
weed,plijeviti
exhaust,ispušni
pasta,tjestenina
distinctive,karakterističan
fraction,frakcija
remark,napomena
emotionally,emocionalno
poke,pirkirati
guarantee,jamčiti
dancing,ples
trouble,smetnja
freshman,brucoš
suitable,prikladan
youngster,dječak
slavery,ropstvo
balloon,balon
opt,odlučiti se
crowded,prepun
liver,jetra
listener,slušatelj
calm,smiriti
ironically,ironično
affirmative,potvrdan
commodity,roba
fur,krzno
freely,slobodno
light,svjetlo
removal,uklanjanje
regard,obzir
round,krug
goat,Jarac
shareholder,dioničar
expedition,ekspedicija
loyal,odan
conscience,savjest
fragile,krhki
calendar,kalendar
mineral,mineral
coming,dolazak
circle,krug
fare,cijeni
blessing,blagoslov
liberation,oslobođenje
steak,odrezak
liquid,tekućina
ecological,ekološki
banana,banana
catch,ulov
steadily,stalno
blast,eksplozija
nonprofit,neprofitna
mobile,mobilni
straw,slama
projection,projekcija
rubber,guma
overnight,preko noći
neighboring,susjedni
enact,donijeti
favorable,povoljan
severely,žestoko
demographic,demografski
terrain,teren
explicit,eksplicitan
integrated,integriran
terribly,strašno
veteran,veteran
level,nivo
sofa,kauč
screw,vijak
shield,štit
invention,izum
Iraqi,irački
perceived,opažen
leave,napustiti
cruel,okrutan
bomber,bombarder
provoke,izazvati
autonomy,autonomija
publishing,objavljivanje
retreat,povlačenje
theology,teologija
substantially,bitno
mansion,ljetnikovac
developmental,razvojni
one-third,jedna trećina
transmit,prenositi
contemplate,razmišljati
authorize,odobriti
mathematics,matematika
battle,bitka
old-fashioned,starinski
lawmaker,zakonodavac
threshold,prag
radar,radar
seldom,rijetko
low,nizak
headache,glavobolja
rental,iznajmljivanje
spy,špijun
patron,pokrovitelj
driveway,kolovoz
till,do
broadcast,emitiranje
overwhelm,zasuti
coordinate,Koordinirati
vendor,prodavač
transport,prijevoz
fragment,fragment
hammer,čekić
seminar,seminar
availability,raspoloživost
peanut,kikiriki
fantastic,fantastičan
depart,odlazak
permit,dozvola
cottage,vikendica
specify,odrediti
frustrate,frustrirati
disturbing,uznemirujući
artifact,artefakt
basin,bazen
regain,povratiti
grape,grožđe
ego,ego
sometime,ponekad
organized,organiziran
charm,šarm
sweater,džemper
rim,naplatak
speculate,nagađati
delight,oduševljenje
fatigue,umor
devastating,razorni
instructional,poučan
plea,molba
tourism,turizam
crowd,gužva
warmth,toplina
jurisdiction,nadležnost
update,Ažuriraj
accusation,optužba
diagram,dijagram
middle-class,Srednja klasa
graduation,diplomiranje
mention,spomenuti
beyond,Iznad
within,unutar
spark,iskra
convenience,pogodnost
chill,ohladiti
economically,ekonomično
undergraduate,dodiplomski
dictate,diktirati
regulator,regulator
defender,branitelj
workout,vježbati
accurately,točno
tile,pločica
foreigner,stranac
importantly,važno
citizenship,državljanstvo
plaza,trg
devise,smisliti
premium,premija
chemistry,kemija
bureaucracy,birokratija
inherent,svojstven
hazard,opasnost
swell,nabuhtati
bride,nevjesta
bow,nakloniti se
processor,procesor
bucket,kanta
timber,drvo
feminist,feminist
till,do
tumor,tumor
apology,isprika
screening,ekraning
arrow,strijela
marker,marker
sunny,sunčano
technician,tehničar
homework,domaća zadaća
fog,magla
soak,upiti
mortality,smrtnost
flying,leteći
accountability,odgovornost
skilled,vješt
straighten,ispraviti
sprinkle,posipati
cue,natpis
epidemic,epidemija
articulate,artikulirati
rehabilitation,rehabilitacija
diplomat,diplomata
ribbon,traka
transit,tranzit
militia,milicija
kneel,jeleti
seller,prodavač
fatal,fatalan
twist,uvijati
compelling,uvjerljiv
praise,hvaliti
copy,kopirati
well-being,dobrobit
laundry,praonica
screen,zaslon
confession,priznanje
twentieth,dvadeseti
dense,gust
accelerate,ubrzati
tribute,danak
smoking,pušenje
aboard,na brodu
marble,mramor
entertain,zabavljati se
boring,dosadan
scrutiny,nadzor
bizarre,bizaran
bargain,povoljnost
deeper,dublje
drown,utopiti
biography,biografija
naval,mornarički
nationwide,svenarodni
skeptical,skeptičan
shorts,kratke hlače
lens,leće
spit,pljunuti
sexuality,seksualnost
rape,silovanje
warehouse,skladište
paradise,raj
nominate,oboriti
developed,razvijen
campaign,kampanja
unfortunate,nesretan
grandchild,unuče
tenure,dužnost
preach,propovijedati
slot,utor
stereotype,stereotip
bulb,žarulja
weave,tkati
merger,spajanje
inadequate,neadekvatan
objective,cilj
electronics,elektronika
trim,podrezati
